ticker,entry_date,entry_price,shares,invested,signal_date,exit_date,exit_price,reason,pnl_pct,pnl_eur,entry_year,pnl_bin
ILMN,2017-01-11,157.92800903320312,63.00339034799135,10000.0,2017-01-10,2019-09-25,291.9747009277344,HOLD,83.03419074016642,8303.419074016641,2017,50..100
RH,2017-02-27,32.66999816894531,304.560776175924,10000.0,2017-02-24,2019-11-07,175.25999450683594,HOLD,431.10433359792177,43110.43335979218,2017,250..500
HRB,2017-03-09,16.310657501220703,610.0305888499795,10000.0,2017-03-08,2019-11-19,19.102325439453125,HOLD,15.947378220523634,1594.7378220523642,2017,0..25
THC,2017-05-03,17.34000015258789,573.817757349617,10000.0,2017-05-02,2020-01-15,36.84000015258789,HOLD,110.33749036975942,11033.749036975943,2017,100..250
PANW,2017-06-02,23.018333435058594,432.2641353715655,10000.0,2017-06-01,2020-02-14,41.20833206176758,HOLD,77.23819608640403,7723.819608640402,2017,50..100
VTRS,2017-10-05,30.733640670776367,323.7494739587144,10000.0,2017-10-04,2020-06-19,13.097461700439453,HOLD,-57.80905145966877,-5780.905145966876,2017,<-50%
MAT,2017-11-14,18.540000915527344,536.67742765141,10000.0,2017-11-13,2020-07-30,11.229999542236328,HOLD,-40.032471694803654,-4003.2471694803653,2017,-50..-25
FN,2018-02-07,29.739999771118164,334.5662433280476,10000.0,2018-02-06,2020-10-20,63.79999923706055,HOLD,112.38599438730273,11238.59943873027,2018,100..250
LITE,2018-02-07,53.599998474121094,185.63433364282676,10000.0,2018-02-06,2020-10-20,84.33000183105469,HOLD,55.762709775261655,5576.2709775261665,2018,50..100
MTSI,2018-05-03,21.979999542236328,452.6842678445138,10000.0,2018-05-02,2021-01-14,63.40999984741211,HOLD,185.6118580817175,18561.185808171747,2018,100..250
DKS,2018-05-31,28.746095657348633,346.133962629335,10000.0,2018-05-30,2021-02-11,65.12428283691406,HOLD,124.29017451325981,12429.01745132598,2018,100..250
